ID	Sample	input	non-chimeric	Species	SpeciesID	Run	Ashley	Laura	sample_type	colony_tag	Colony	Replicate	PMA	Date_collected	Tank	Genotype	DNA_ext_date	DNA_ext_by	FWD	REV
Al1.1A_FWD01	Al1.1A	119211	81281	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	1	PMA-treated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV01
Al1.1B_FWD01	Al1.1B	42146	27028	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	1	untreated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV02
Al1.2A_FWD01	Al1.2A	69567	45470	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	2	PMA-treated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV03
Al1.2B_FWD01	Al1.2B	62099	45125	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	2	untreated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV04
Al1.3A_FWD01	Al1.3A	169206	115964	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	3	PMA-treated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV05
Al1.3B_FWD01	Al1.3B	33862	23921	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	3	untreated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV06
Al1.4A_FWD01	Al1.4A	184885	120429	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	4	PMA-treated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV07
Al1.4B_FWD01	Al1.4B	25749	16748	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	4	untreated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV08
Al1.5A_FWD01	Al1.5A	184360	127728	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	5	PMA-treated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV09
Al1.5B_FWD01	Al1.5B	14629	9322	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	1	5	untreated	17/06/2022	ISB1-A	A	12/07/2022	Laura	FWD01	REV10
Al2.1A_FWD01	Al2.1A	34929	24513	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	1	PMA-treated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD01	REV11
Al2.1B_FWD01	Al2.1B	6468	4218	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	1	untreated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD01	REV12
Al2.2A_FWD02	Al2.2A	54447	36547	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	2	PMA-treated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV01
Al2.2B_FWD02	Al2.2B	8468	5316	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	2	untreated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV02
Al2.3A_FWD02	Al2.3A	71982	48407	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	3	PMA-treated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV03
Al2.3B_FWD02	Al2.3B	19730	13875	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	3	untreated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV04
Al2.4A_FWD01	Al2.4A	491	317	Acropora loripes	Al	2	FALSE	FALSE	tissue	NA	2	4	PMA-treated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV13
Al2.4A_FWD02	Al2.4A	3161	2118	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	4	PMA-treated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV05
Al2.4B_FWD01	Al2.4B	568	327	Acropora loripes	Al	2	FALSE	FALSE	tissue	NA	2	4	untreated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV14
Al2.4B_FWD02	Al2.4B	477	332	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	4	untreated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV06
Al2.5A_FWD02	Al2.5A	98775	60737	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	5	PMA-treated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV07
Al2.5B_FWD02	Al2.5B	17442	11086	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	2	5	untreated	17/06/2022	ISB1-A	B	12/07/2022	Laura	FWD02	REV08
Al3.1A_FWD02	Al3.1A	45295	31527	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	3	1	PMA-treated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD02	REV09
Al3.1B_FWD01	Al3.1B	1946	1135	Acropora loripes	Al	2	FALSE	FALSE	tissue	NA	3	1	untreated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV15
Al3.1B_FWD02	Al3.1B	2413	1467	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	3	1	untreated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD02	REV10
Al3.2A_FWD02	Al3.2A	121846	85633	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	3	2	PMA-treated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD02	REV11
Al3.2B_FWD01	Al3.2B	508	302	Acropora loripes	Al	2	FALSE	FALSE	tissue	NA	3	2	untreated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV16
Al3.2B_FWD02	Al3.2B	3469	2182	Acropora loripes	Al	1	TRUE	FALSE	tissue	NA	3	2	untreated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD02	REV12
Al3.3A_FWD01	Al3.3A	9163	4545	Acropora loripes	Al	2	TRUE	FALSE	tissue	NA	3	3	PMA-treated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV17
Al3.3A_FWD03	Al3.3A	68	36	Acropora loripes	Al	1	FALSE	FALSE	tissue	NA	3	3	PMA-treated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD03	REV01
Al3.3B_FWD01	Al3.3B	8595	4537	Acropora loripes	Al	2	TRUE	FALSE	tissue	NA	3	3	untreated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV18
Al3.3B_FWD03	Al3.3B	110	67	Acropora loripes	Al	1	FALSE	FALSE	tissue	NA	3	3	untreated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD03	REV02
Al3.4A_FWD01	Al3.4A	1660	809	Acropora loripes	Al	2	TRUE	FALSE	tissue	NA	3	4	PMA-treated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV19
Al3.4A_FWD03	Al3.4A	49	24	Acropora loripes	Al	1	FALSE	FALSE	tissue	NA	3	4	PMA-treated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD03	REV03
Al3.4B_FWD01	Al3.4B	3346	1906	Acropora loripes	Al	2	TRUE	FALSE	tissue	NA	3	4	untreated	17/06/2022	ISB1-A	NA	12/07/2022	Laura	FWD01	REV20
Al3.4B_FWD03	Al3.4B	63	30	Acropora loripes	Al	1	FALSE	FALSE	tissue	NA	3	4	untreated	17/06/2022	ISB1-A	C	12/07/2022	Laura	FWD03	REV04
