ASV	Domain	Phylum	Class	Order	Family	Genus
0124a625c3e530e943ef0ca275f15c62	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter]_taeniospiralis_group
08fb3359323aa5aea26b029b44168919	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter]_taeniospiralis_group
3753aacbbee011e5fe0e5039863e2e2e	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter]_taeniospiralis_group
a3d34fa35ee32602619a1e380e9a9dba	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter]_taeniospiralis_group
9c1d59ffbafd66f0ef0f0931bcf9eb7b	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium]_brachy_group
18857737fba5bd5be244d890079edd01	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
1ac9ce497f9dfcb9d49c7151ca02064f	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
4862af990c1517b6282b0a4d84fdd249	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
7e636c032359dacc0da9fb94c1b1dfbc	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
d041a640cce6aa2e75b800f2862e2164	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
e40a5e4e60c4330db243b86cb02ba080	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
eeec9ad61a6815cfd23c55e0b22763f6	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_coprostanoligenes_group
bebd33a03a65881a1a32a4ba32cf6b0b	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]_fissicatena_group
2ec31ff11778f6c7703f0d51001785a6	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]_hallii_group
5cea2a71d064be520db84dcc8c36b011	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]_hallii_group
60e36866ae8079a5b32aefd8dcd33734	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]_hallii_group
de9eb91694b94864c877b0cbecbab2f8	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]_hallii_group
771c5c5b7fd11e5eeba2258f935526a8	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_gauvreauii_group
0258a7a71588c71b52ca6ac84f4dce27	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
081190234ac545150f6f1957edc0e955	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
12206aa8a7d7840c44347b8617402396	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
26884bc0f3efc60ce2156b89fc928928	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
2a486ef7f5e33b0ff9305173488b75e9	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
3287cf68e2da5b591ae803f02781d661	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
534eb3d8fc05922334e0d0a124842952	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
6f843be46e5b354bcdd526d712f86917	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
720b91f2311bdbb9f0bb15a3ddeb38be	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
869cefc367203c59ea838b9aa76518f8	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
8bc4f17483ec1e5c9225b1036b45b044	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
93c6e0b55c2e95041325bb24472fd4ba	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
98b1de284fda17d6c470c4d4bf55828f	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
991c794e69c635bb99c28b1951e50df4	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
9985f9ff9e4f8d4cbcbef92f10fdc664	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
999f0de36218161852260c0c55ed2d3d	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
a39c8fa6b2fd31893acd588e1e5c76b8	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
acb9a3db897a3f8bfdb35f89afe71ed2	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
cb74e25f58157281525cdff355da4890	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
cc2488186c8cd9ac58993a122cfb726f	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
ce4353a47dac5a5241e76c038c13f7c1	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
ddf1b02121db38dffa8777376b797d82	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
e868fe8c6d2b62d4265cbffb9bd15d0e	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
ee2910de1f46113399adf48858889303	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
f8d17ad9767e46bcbc0d0d5a0064626c	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus]_torques_group
31176939b9ad93b0c79825665e569a94	Bacteria	Planctomycetota	028H05-P-BN-P5	028H05-P-BN-P5	028H05-P-BN-P5	028H05-P-BN-P5
0115bc11744f5e247699c695187b6c2d	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
0986c33433b76ee26123b7aa2a0ffd34	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
0afcfc70f3f3f743bf27a29415bc5f75	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
1642edc4c4450b5c277f404d09858eb7	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
1755dbb1c8c4033b932200b0c6ca3a3a	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
1ab8596acb5ca65656c5a4800ce3509b	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
1ebf2baa1324a4d2216edd7e6c379d9b	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
2650cc619fb103cdb8636f1a24dc6eac	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
2c3dd12bf6e2d7ab3298b6ab7e432fce	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
3fe4c0fac4d18bc7e45fdd200667fe92	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
4cdcb4f1eee3844f31bbfe759a26fe50	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
4d5ca168bfdeb655dd00f3ab368710df	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
4f5d699d4717493ebc3627d5f5c25886	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
53f180c8e124bd35fbef89d662169b33	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
55981e9f1037ca67a79aaea1e08e5d81	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
5e94a6465b808614123f5c1c5cfe5bd6	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
5ea89c9213836a35a1dfb8ca12253023	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
6893b99f817cb9237d04d93bc8b74ad3	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
6d92ae7c4534e0424c021fb3bd9e4e60	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
776a032bbab33d07d076c606855ebc64	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
7aa733723a12d175983f8091ffe392aa	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
7ef1353c0346c141bb1fec1e5ab187f0	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
7fa01fc3329ca7201e568f8ea22c49c7	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
842dfe3ee3a36d60959ec3dde9ba041d	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
8c40a9f4581379784a2bce4252c70e14	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
95083a3c898039d371933bee53dd7687	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
98c27918bbbeaf512cf06568728cd8ec	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
9b4b2266f49ba7f53e6a6081d9dbf805	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
9f74e744e3c952a991979387c69c3f1f	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
a8c59227c897c00c9c0d19196a0edf39	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
a9504e1e69d3f1a398fe1ac22fda58cf	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
af83cefb749b95f4f81f6a188c18e9db	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
b23b1d8ff667bb3f38fd579e1bd6c089	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
b40386be8fea8d70d634d58d86328650	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
b956f9188cb882ea38ed66d53395d440	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
bcd3d9fe6fbc4347797d02505240e234	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
c241e5c29ddf02c6592a2f6fdae85eab	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
c5ff80e103ddac0e89ecbad906d996b3	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
cb3784848578e0fdabe3a61e644af789	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
ce302156ac2978da3c898311ba277d7e	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
d3b57fd929f910df92cc7b0e2eb99d9a	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
d7d36eb7a1efc746ee99f3ffcde04fbd	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
dba4b9e1de241670639d989415935e33	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
dc3d56e4ecc214ddf411eb9964ecd568	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
de36c77d690e249230b7f77ca65b7df8	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20
